,title,genres,description,poster,url
20,"To Me, The One Who Loved You","['Romance', 'Sci-Fi']","A world where it has been established that people routinely swing between slightly different parallel worlds...

Koyomi Hidaka, who lives with his father following his parents' divorce, meets a girl named Shiori Satou at the research institute where his father works. They both have a little crush on each other, but everything changes when their parents remarry. Koyomi and Shiori, convinced that they will never be together, try to jump into another world where they won't be step-siblings... There's no meaning in a world without her.",https://img.flawlessfiles.com/_r/300x400/100/e4/ae/e4ae390c3bd72654a60019bbad8e51e2/e4ae390c3bd72654a60019bbad8e51e2.jpg,https://aniwatch.to/to-me-the-one-who-loved-you-18187
21,Drifting Home,['Fantasy'],"Kousuke and Natsume have been friends since childhood, but as time goes on, the relationship between the two sixth graders seems strained as they keep avoiding each other.  One day during the summer vacation, they visit a housing complex that is scheduled to be demolished. Having grown up there, the place holds a lot of memories, but while playing, they suddenly get caught up in a mysterious phenomenon. When they regain consciousness, they see an entire ocean before them as the housing complex has drifted into a mysterious sea with Kousuke, Natsume, and others in it. Will they be able to return to their previous world? A summer farewell journey begins...",https://img.flawlessfiles.com/_r/300x400/100/60/26/60260e6b74bf15e08cbfa737052cebba/60260e6b74bf15e08cbfa737052cebba.jpg,https://aniwatch.to/drifting-home-18150
22,Fruits Basket: Prelude,"['Drama', 'Romance']","Despite Kyouko Honda's tragic death, her vivid memory lives on, providing guidance through times of hardship to her close ones. However, Kyouko was not always the wise and radiant person that she is fondly remembered as in the present day.

Feeling deserted by her own family and rejected by society, a young Kyouko abandons stability for a life of delinquency, jeopardizing her education and future. Fortunately, her descent into despair is interrupted by a fateful encounter with her husband-to-be Katsuya, who has recently started his teaching internship at her school.

With a composure surprisingly unaffected by Kyouko's tantrums, Katsuya quickly wins her over through his gentleness and attention toward her—sincere gestures that she has never received before. As the two grow closer together, Kyouko opens her tormented heart to him and, along with it, a door to new horizons.",https://img.flawlessfiles.com/_r/300x400/100/4c/62/4c62df371623fcf1e3aef674ab8e12d2/4c62df371623fcf1e3aef674ab8e12d2.jpg,https://aniwatch.to/fruits-basket-prelude-18074
23,Ghost in the Shell: Stand Alone Complex 2045,"['Action', 'Sci-Fi']",Compilation film of with new scenes.,https://img.flawlessfiles.com/_r/300x400/100/44/f7/44f706d2dc60a2e88d2dd0df5db072c6/44f706d2dc60a2e88d2dd0df5db072c6.jpg,https://aniwatch.to/ghost-in-the-shell-stand-alone-complex-2045-18061
24,Odd Taxi Movie: In the Woods,['Comedy'],"Film which ""reconstructs"" the Odd Taxi TV anime and also depicts what happens after the TV anime's finale.",https://img.flawlessfiles.com/_r/300x400/100/9b/09/9b09f74620d15cc427dc19918595fca0/9b09f74620d15cc427dc19918595fca0.jpg,https://aniwatch.to/odd-taxi-movie-in-the-woods-18011
26,Robotech: The Shadow Chronicles,"['Action', 'Adventure']","In June 2044, the Robotech Expeditionary Force (REF) fleet gathers at Moon Base ALUCE for its final attempt to drive the alien Invid from the Earth. This time, the REF has important technological advantages thanks to the help of the Sentinel races; the Karbarrans provided the industrial resources to construct this armada, while a secretive and highly advanced cybernetic race known as the Haydonites have provided advanced technology including Shadow devices, which make REF ships invisible to Invid sensors, and Syncro-Cannons, which are significantly more powerful than the REF's earlier weapons. The REF fleet is led by newly completed SDF-4 Izumo, a Super Dimensional Fortress over 1.3 km (0.8 miles) long under the command of General Gunther Reinhardt.",https://img.flawlessfiles.com/_r/300x400/100/bd/ff/bdff26ef0dec25006ccaa2d98b3a2779/bdff26ef0dec25006ccaa2d98b3a2779.jpg,https://aniwatch.to/robotech-the-shadow-chronicles-17894
27,Robotech II: The Sentinels,"['Action', 'Adventure']","The Pioneer Expedition was a mission to confront alien forces in space to prevent interplanetary war on Earth. It took place concurrently with the 2nd and 3rd Robotech wars. The expedition was led by Lisa Hayes aboard the SDF-3, which was launched in 2022 in search of the Robotech Masters. The mission soon became preoccupied with the liberation of worlds under the control of the Invid Regent. In June 2030, the final battle of the Second Robotech War caused a release of the spores of the Invid flower of life across Earth, which soon attracted the Invid. In 2031, the Invid, under the control of the Regis, invaded Earth. The United Earth Forces (including the elite Army of the Southern Cross) had been severely weakened by the Second Robotech War and were only able to offer limited resistance. In less than a week, the Invid seized control of the planet and began utilizing the human population for slave labour and scientific experiments. In 2038 and 2042, the REF sent the 10th and 21st Mars divisions to try to retake the planet, but both ended in complete failure. It was only with the third attempt in 2044, which involved all available REF forces (now equipped with new technology known as new Reflex Weapons and Shadow Techno Fighters obtained from the Haydonites) that the Invid were dislodged from Earth.",https://img.flawlessfiles.com/_r/300x400/100/f2/e3/f2e3ba85e3e5822a18109d8ee9665695/f2e3ba85e3e5822a18109d8ee9665695.jpg,https://aniwatch.to/robotech-ii-the-sentinels-17893
28,Demon Slayer: The Hashira Meeting Arc,"['Action', 'Mystery', 'Fantasy', 'Historical']","The Hashira Training conducted by the Hashira is a special training session that aims to improve all Demon Slayers' abilities and physical health. The training is split between the Hashiras. First, the Sound Hashira, Uzui Tengen conducts training on basic stamina. Then, the Love Hashira, Kanroji Mitsuri handles flexibility training and the Mist Hashira, Muichirou Tokito, deals with the quick movement training.

The Snake Hashira, Obanai Iguro, then focuses on sword skill revision, followed up by the Wind Hashira, Sanemi Shinazugawa, who handles pounding training and finally the Rock Hashira, Gyomei Himejima, who trains muscle reinforcement. The Insect Hashira, Shinobu Kocho does not take part in the training.

The majority of the Demon Slayers view the training session as an everlasting trip in hell, with the exception of Tanjiro Kamado and Inosuke Hashibira who see the session as a chance to improve themselves. As a general rule, Hashira must take part in each other's training sessions. It is considered a win-win situation for both the Hashira and the Demon Slayers as even the Hashira get to improve due to being constantly attacked by wave upon wave of juniors ranked lower than themselves.",https://img.flawlessfiles.com/_r/300x400/100/f4/db/f4db3749989c98cd4a4513b003737e8d/f4db3749989c98cd4a4513b003737e8d.jpg,https://aniwatch.to/demon-slayer-the-hashira-meeting-arc-17859
29,Demon Slayer: Mt. Natagumo Arc,"['Action', 'Mystery', 'Fantasy', 'Historical']","Tanjiro, Zenitsu, and Inosuke go on their first mission together and venture to Mount Natagumo. Too afraid to go up the ""spooky mountain"" with Tanjiro and Inosuke, Zenitsu stays behind. Tanjiro and Inosuke encounter a mountain laced with spider webs and controlled by Spider Demons. These Demons have already dispatched countless Demon Slayers, forcing Kagaya to send in the Hashira as reinforcements.",https://img.flawlessfiles.com/_r/300x400/100/b5/02/b5020a13530f648be6f59e64f4ec78c3/b5020a13530f648be6f59e64f4ec78c3.jpg,https://aniwatch.to/demon-slayer-mt-natagumo-arc-17858
30,Demon Slayer: Sibling's Bond,"['Action', 'Mystery', 'Fantasy', 'Historical']","Since ancient times, rumors have abounded of man-eating Demons lurking in the woods. Because of this, the local townsfolk never venture outside at night. Legend has it that a Demon Slayer also roams the night, hunting down these bloodthirsty Demons. For young Tanjiro Kamado, these rumors will soon to become his harsh reality. Ever since the death of his father, Tanjiro has taken it upon himself to support his family. Although their lives may be hardened by tragedy, they've found happiness. But that ephemeral warmth is shattered one day when Tanjiro finds his family slaughtered and the lone survivor, his sister Nezuko Kamado, turned into a Demon. To his surprise, however, Nezuko still shows signs of human emotion and thought. Thus begins Tanjiro's journey to seek out the Demon who killed their family and turn his sister human again.",https://img.flawlessfiles.com/_r/300x400/100/4f/53/4f5316407cf67d9c6b42bb356b2bdb83/4f5316407cf67d9c6b42bb356b2bdb83.png,https://aniwatch.to/demon-slayer-siblings-bond-17857
31,Jujutsu Kaisen 0 Movie,"['Action', 'Demons', 'Shounen', 'Supernatural']","Yuuta Okkotsu is haunted. Ever since his childhood friend Rika died in a traffic accident, her ghost has stuck with him. But her spirit does not appear as the sweet girl Yuuta once knew. Instead, she manifests as a monstrous and powerful entity who fiercely protects him. Unable to control Rika's violent behavior, Yuuta is helpless to stop the bloodshed that follows from her brutal vengeance. As a result, when apprehended by ""Jujutsu"" sorcerers—the secret guardians of the world, trained to combat forces like Rika—Yuuta wishes to be completely isolated so that no one else can get hurt.

Yet his apprehender, the master sorcerer Satoru Gojou, has different plans for him: he will join Jujutsu High School and learn to control Rika in order to help people. Now a first-year at this school, Yuuta starts to learn Jujutsu arts and combat malignant beings. Alongside his new classmates Maki Zenin, a Jujutsu weapons expert; Toge Inumaki, a spellcaster who uses his words as weapons; and Panda, a seemingly walking and talking panda bear, Yuuta begins to find his place in the world and, for once, to feel comfortable with his abilities. However, as his training progresses, Yuuta comes to learn that the dangers of the Jujutsu world go far beyond that of wicked spirits.",https://img.flawlessfiles.com/_r/300x400/100/a2/62/a26294497c6afa9b885636b373d611f9/a26294497c6afa9b885636b373d611f9.jpg,https://aniwatch.to/jujutsu-kaisen-0-movie-17763
32,"UtaPri Movie 2, Uta no Prince-sama Maji Love Starish Tours Movie","['Comedy', 'Music', 'Romance', 'Shoujo', 'Harem']",The first installment of the new Uta no☆Prince-sama♪ original film series.,https://img.flawlessfiles.com/_r/300x400/100/b4/c0/b4c0b9e8022a771fa87f5917e79a999d/b4c0b9e8022a771fa87f5917e79a999d.jpg,https://aniwatch.to/utapri-movie-2-uta-no-prince-sama-maji-love-starish-tours-movie-17758
33,Black Clover: Sword of the Wizard King,"['Action', 'Comedy', 'Fantasy', 'Magic', 'Shounen']","As a lionhearted boy who can’t wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",https://img.flawlessfiles.com/_r/300x400/100/44/7b/447bc03aeeaffb95729df74c0b98f1ce/447bc03aeeaffb95729df74c0b98f1ce.jpg,https://aniwatch.to/black-clover-sword-of-the-wizard-king-17752
34,The Journey,"['Action', 'Adventure']","The Journey is a Japanese–Saudi Arabian animated film co-produced by Toei Animation and Manga Productions directed by Shizuno Koubun. The film revolves around a potter named Aws who joins a battle to defend his home city.

(Source: Wikipedia)",https://img.flawlessfiles.com/_r/300x400/100/f3/e5/f3e5b0c7b67345d3154fee6fe9cea8ea/f3e5b0c7b67345d3154fee6fe9cea8ea.jpg,https://aniwatch.to/the-journey-17743
35,The Quintessential Quintuplets: The Movie,"['Comedy', 'Romance', 'School', 'Shounen', 'Harem']","Futaro has led five quintuplets to the point where they can graduate and pursue their own dreams. Now, finally, they had reached their final school festival. Having decided to make this occasion one to remember, Futaro searches for his feelings for the five quintuplets.",https://img.flawlessfiles.com/_r/300x400/100/02/da/02dad8c7b2c0a13dc8606e23decc3fc4/02dad8c7b2c0a13dc8606e23decc3fc4.jpg,https://aniwatch.to/the-quintessential-quintuplets-the-movie-17726
